ID,weiboID,commentUID,content,commentTime
1,0, 超级橘野冰,谁知道少的那寸土地能长出什么好吃的 ,7月11日 08:18 
2,0, 毒毒毒毒毒毒毒毒毒男银,今天看到一个评论说“难道所有人都觉得人必须爱国吗？”竟然还有好多赞，对于这个问题，我想说，不然你他妈以为呢？ ,7月12日 18:30 
3,0, F-馮沛雄,不是我们的，分为不要；是我们的，寸土必争 ,7月11日 08:22 
4,0, 个性斑马,犯我中华者 虽远必诛！ ,7月11日 08:24 
5,0, _蕊安_,不管在哪里 不管她还有什么不完美 我都爱我的国家 ,7月11日 08:20 
6,0, x丫头in,一点都不能少 ,7月11日 08:19 
7,0, 余杭县令,中国人民万岁！ ,7月11日 08:19 
8,0, 叮叮的美好期许,胆敢破坏中国的完整性！ ,7月11日 08:18 
9,0, Wenlock_文洛克,很好，这很中国 ,7月11日 08:23 
10,0, 你们and我forever,中国 ,7月12日 14:50 
11,1, 纫勋,不能少 ,7月12日 16:01 
12,1, 白富美班班长,中国领土 一点都不能少 ,7月12日 16:01 
13,1, 月半Anne,什么都不能少。 ,7月12日 16:01 
14,1, 韩嫣然我爱你,对? ,7月12日 16:01 
15,1, 江江江江江江江江江江土豆,今天仲裁结果无非两个,7月12日 16:01 
16,1, 整个城市开始沦陷,爱国羊 ,7月12日 16:01 
17,1, Kam_Dimples,爱过的好迷人 ,7月12日 16:01 
18,1, 忽然就醒了今天,一点都不能少 ,7月12日 16:05 
19,1, 赵鲮鱼,是的 ,7月12日 16:01 
20,1, 诶呦呦呦Minions,犯我中华者??虽远必诛 ,7月12日 16:01 
21,2, Floatingdearm,1987年，菲律宾前总统访华拜会邓小平谈到南沙主权问题时说,7月12日 21:36 
22,2, TalkToMeeee,有国才有家！！！！！么么哒！！！！！ ,7月12日 21:36 
23,2, 小矜持大学霸,老胡说话就是有股子文艺气 ,7月12日 21:37 
24,2, GEM_曲奇饼,我不太喜欢56个民族变57个唉……毕竟菲律宾族好难听又好像也没有脑子的样子 ,7月12日 21:36 
25,2, 胡歌靈,老胡好样的坚决维护国家主权和领土完整！ ,7月12日 21:39 
26,2, Mr_袁生,多年后，我用手指指着中国地图上曾经叫菲律宾，现在叫中国菲律宾省的地方，对着儿子说,7月12日 21:36 
27,2, 胡歌家的高三狗,终于等到你 ,7月12日 21:36 
28,2, 芷箩,老胡终于出来啦有国才有家 ,7月12日 21:37 
29,2, 阿西巴ba,关于南海 看我第一条微博 你会回来赞的 ,7月12日 21:36 
30,2, 露KC,这是我们共同的家x#一点都不能少#  ,7月12日 21:55 
31,4, 源苏大队长王俊凯i,犯我中华者，虽远必诛 ,7月12日 17:51 
32,4, 张庭TST活酵母-橙香,冰冰不仅美丽善良！而且爱着自己的国家！这么好的明星，谁能不爱 ,7月12日 17:53 
33,4, ZXYUN1110,不是中国的，一份不要；该是我们的，寸土必保！ ,7月12日 17:51 
34,4, 隆隆mon,仲裁结果无非三个??南海是中国的或者菲律宾是中国的还有南海和菲律宾都是中国的 ,7月12日 17:51 
35,4, 萌月牌儿酱心曲奇,我爱你中国 心爱的母亲 ,7月12日 17:51 
36,4, 少女有只狼,犯我中华者 虽远必诛 ,7月12日 17:51 
37,4, 诶别走了,一朝身为中国人?????誓死捍卫中国魂     ,7月12日 17:51 
38,4, 饺子-JZ,我们都有一个家 名字叫中国 ,7月12日 17:52 
39,4, 本宫记性不好,爱我中华，寸土必争！身高165，52公斤，罩杯是C，重庆妹纸，会做饭会洗衣，会撸猫会铲屎，会撒娇能卖萌。觉得我还不错的话请赞并粉我以示鼓励。如果没人赞我，我过会儿再来。#手抄史记# ,7月12日 17:51 
40,4, 美哒哒兔子1987,这才是中国范 ,7月12日 17:53 
41,5, 仙女团第二任团长,其实讲真，我不太喜欢56个民族变57个唉……毕竟菲律宾族，又难听，好像也没有脑子的样子… ,7月12日 20:17 
42,5, 哈咯小爱同学,我是中国的脑残粉。 ,7月12日 20:16 
43,5, 鲸鱼家的少女娃,爱国鲸鱼已上线，向全世界安利最好的黄景瑜 ,7月12日 20:19 
44,5, 恶劣天气爱好者-,南海问题涉及到南海观音归属问题，为了信仰，绝不退让 ,7月12日 20:17 
45,5, IDidThisForRamen,我觉得一个国家是否牛逼就是南海出事了，台湾出事了，他的人民还能够继续跳广场舞，刷微博，吐槽烂电影，而所有的事都交给国家，而我们国家却说我不同意，不用等明天，明天你就知道了。而我国人民仍然在跳广场舞在刷微博在吐槽，这事你放到中东看看，不是所有国家都能让你安心跳广场舞的 ,7月12日 20:17 
46,5, 弥漫mmy,中国好男儿        @Johnny黄景瑜 ,7月12日 20:47 
47,5, 煮不烂的鱼头鲸,犯我中华者，虽远必诛！ ,7月12日 20:17 
48,5, 喂狗遛狗狗生狗,oh ,7月12日 20:16 
49,5, 徐小姐家有只猫,你粗线了 好想你 正能量的景瑜 ,7月12日 20:17 
50,5, jiaqiqi_qzl,现在连刘梓晨都不想给了 ,7月12日 20:16 
51,6, 此微博名有十三个字不信你数,紧张兮兮的打开电视机，查看南海投票结果……发现中央一台在放熊出没，二台在放英国退出欧盟的严重后果，三台在放黄金一百秒，四台在放长城内外，五台在放国际女排大奖赛，六台在放既然青春留不住，七台在放美丽人生，八台在放花千骨，九台在放天路故事……好尴尬啊  ,7月12日 21:44 
52,6, 公孙探长的花丝巾, ,7月12日 21:45 
53,6, SUNCHUNDI-,我们希望和平??但我们从不惧怕战争！ ,7月12日 21:45 
54,6, 梨涡Dimple,不属于中国的，我们一分不要，中国自己的，我们分土必争，一条鱼也不给他们 ,7月12日 21:44 
55,6, 勾yi霏kkw,一点都不能少！犯我中华者，虽远必诛！ ,7月12日 21:45 
56,6, 胡清华sc,南海是中国的 ！ 南海的所有海鲜也是中国的 ！！ 一个扇贝也不能少！！！ 还有皮皮虾！！！ ,7月12日 21:45 
57,6, _____Yang琦钰是DSH小王子,一点都不能少，一寸都不行。 ,7月12日 21:45 
58,6, 老王家的打脸猫,突然刷到这条微博………………很热血！ //@王凯kkw:一点都不能少！ ,7月12日 21:50 
59,6, 吴侃侃kkw,一点都不能少 ,7月12日 21:45 
60,6, 水笉妃,一点也不能少 ,7月12日 21:46 
61,7, 灿灿灿妹,属于中国 一点都不能少 ,7月12日 16:09 
62,7, 白富美班班长,中国领土 一点都不能少 一口海水都不能给他们喝！李晨棒棒哒 给你点赞！ ,7月12日 16:09 
63,7, 猫斯基儿,中国不怂中国最棒 ,7月12日 16:09 
64,7, 每首歌都是故事,#南海仲裁#今天是中国最为艰难选择的一天。南海仲裁案即将宣布，美国两艘航空母舰已布署到南海。美国人就要以南海仲裁庭仲裁结果侵犯中国领海领空。今天南海高速封路，DF21前往三沙市。微博热搜竟然全部都是娱乐圈的新闻，南海仲裁这么大的事情竟被埋没，转发出去让更多中国人看到!寸土不让! ,7月12日 16:10 
65,7, 柠檬不萌i但很酸,今天是中国最为艰难选择的一天。南海仲裁案即将宣布，美国两艘航空母舰已布署到南海。美国人就要以南海仲裁庭仲裁结果侵犯中国领海领空。今天南海高速封路，DF21前往三沙市。微博热搜竟然全部都是娱乐圈的新闻，南海仲裁这么大的事情竟被埋没，转发出去让更多中国人看到!寸土不让!五点让你知道! ,7月12日 16:09 
66,7, 范沐冰-, ,7月12日 16:09 
67,7, 国民男炮手,仲裁结果只有两种情况1南海是中国的 2菲律宾是中国的 ,7月12日 16:10 
68,7, 徐玉婷很特别,虽远必诛中国一点不能少 ,7月12日 16:09 
69,7, 炫达ahh,#南海仲裁# 把你们的狗爪子从龙身上拿下来！ ,7月12日 16:09 
70,7, 梨涡Dimple,南 海 的 一 条 鱼 我 都 不 会 给 你  ,7月12日 16:08 
71,8, 他说ta是猫,紧张兮兮的打开电视机，查看南海投票结果……发现中央一台在放熊出没，二台在放英国退出欧盟的严重后果，三台在放黄金六十秒，四台在放长城内外，五台在放国际女排大奖赛，六台在放既然青春留不住，七台在放美丽人生，八台在放花千骨，九台在放天路故事……爸爸，我要看热闹 ,7月12日 19:51 
72,8, 成都市四医院精神内科副主任,今天看到一个评论说“难道所有人都觉得人必须爱国吗？”竟然还有好多赞，对于这个问题，我想说，不然你他妈以为呢？ ,7月12日 19:52 
73,8, 流浪记M,1987年，菲律宾前总统访华，谈到南沙问题时说,7月12日 19:51 
74,8, 复映件,敌军还有三十秒到达战场，碾碎他们  ,7月12日 19:51 
75,8, 陆禽,急了直接掀他水果摊儿…谁还没个脾气咋没 ,7月12日 19:50 
76,8, LoCascio仁,我国有很早的对南海主权历史记载,7月12日 19:54 
