ID,weiboID,commentUID,commentcontent,commentTime
1,1, 吃饱没事68,大的骗人卖命，中的骗人干活，小的骗钱。 ,8月29日 19:23 
2,1, TimPeng_天蓬,上次电视上就放了一个纪律片，片子里明确的指出，电信诈骗在技术支持上，几乎就是3大运营商提供的！而且运营商是知情的！明摆着应该负责的三大运营商，在ZF的新闻里连提都没提！ZF只是把黑锅推到老百姓用电话卡没有去实名认证！我真是操了！ ,8月30日 11:19 
3,1, 我的男神神神神是李桢航,不仅我们国家，国外的电信诈骗也很多，相信我们的国家，我们的法律！ ,8月31日 11:56 
4,1, TimPeng_天蓬,上次电视上就放了一个纪律片，片子里明确的指出，电信诈骗在技术支持上，几乎就是3大运营商提供的！而且运营商是知情的！明摆着应该负责的三大运营商，在ZF的新闻里连提都没提！ZF只是把黑锅推到老百姓用电话卡没有去实名认证！我真是操了！ ,8月30日 11:19 
5,1, 屋宽心更宽,打击呀！！！！！！ ,8月30日 07:45 
6,1, 相关雨,上行下效 ,8月29日 20:28 
7,1, 赢毅雍,监管部门又[打哈气][打哈气][打哈气] ,8月29日 20:25 
8,1, 轮库张哥,重拳打击，还老百姓安宁的生活！ ,8月29日 19:54 
9,1, 吃饱没事68,大的骗人卖命，中的骗人干活，小的骗钱。 ,8月29日 19:23 
10,1, liushaohua9188,我们的民警我们的破案显得就太笨太luo吗 ,8月29日 19:12 
11,1, Cuilong龍,这个国家得管呐，3000亿上税了吗？ ,8月29日 19:11 
12,1, 大熊猫-和他的胖胖,马路走来十个人，九个是骗子，一个还在培训 ,8月29日 19:01 
13,1, 新宾老狼,转发微博 ,8月29日 18:35 
14,1, 闲游山间888,不是实名了吗 ,8月29日 18:12 
15,1, 笑对世间狗先生,有好的 也有坏的 只有武装好头脑 方可不惧也 ,8月29日 18:07 
16,1, 理财小便签,何时才能消停？当道德与利益相见，负责管理人员信息的职员选择哪个？ ,8月29日 18:02 
17,1, MASKER_1023,要动刀了 ,8月29日 17:59 
18,1, 桑尼先生L,奇葩 ,8月29日 17:53 
19,1, lesleyliu,就是因为产业太大所以不敢动？怕他们失业？ ,8月29日 17:53 
20,1, lan在追求什么,买了个网络电话账号 人家接到都是被标记诈骗 ,8月29日 17:52 
21,1, njwulei,我怕什么，我有脑子 ,8月29日 17:51 
22,1, 吃饱没事68,大的骗人卖命，中的骗人干活，小的骗钱。 ,8月29日 19:23 
