ID,weiboID,userID,fatherWeiboID,rootWeiboID,content,repostTime
182,2,杨洋icon,1,1,一点都不能少,2016-07-12 16:00
183,3,胡歌,1,1,“有国才有家” 一点不少！ 寸土不让！,2016-07-12 21:36
184,4,宋茜,1,1,这才是中国，一点都不能少。,2016-07-12 17:25
185,5,Johnny黄景瑜,1,1,,2016-07-12 20:16
186,6,王凯kkw,1,1,一点都不能少！,2016-07-12 21:44
187,7,Dear-迪丽热巴,1,1,中国，一点都不能少，一寸都不会让。,2016-07-12 21:31
188,8,黄渤,1,1,这才是中国，一点都不能少。,2016-07-12 19:49
189,9,李晨,1,1,,2016-07-12 16:08
190,10,馬天宇,1,1,#中国一点都不能少#,2016-07-12 17:53
191,11,许魏洲ZZ,1,1,一点也不能少！,2016-07-12 18:59
192,12,柒月64113,1,1,//@演员王迅:#中国一点都不能少#这才是中国，一点都不能少。,2016-08-19 14:21
193,13,傅豪乐园_395,1,1,中国加油//@张振宇:一点都不能少！一寸都不会让！,2016-08-19 14:11
194,14,約翰泰迪,1,1,#中国一點都不能少,2016-08-19 13:57
195,15,朕认识你么,1,1,//@粉丝红包:,2016-08-19 13:56
196,16,love卢劲涛,1,1,转发微博,2016-08-19 13:50
197,17,熙琳Angel,1,1,? //@粉丝红包:,2016-08-19 13:40
198,18,哥哥迪达拉,1,1,转发微博,2016-08-19 13:30
199,19,朕是喵姐,1,1,转发微博,2016-08-19 13:30
200,20,楚河大军1994,1,1,//@范冰冰:这才是中国，一点都不能少。,2016-08-19 13:19
201,21,天使真飞鸟,1,1,转发微博,2016-08-19 13:14
202,22,用户5988544770,1,1,//@朴智妍木枍:一点都不能少,2016-08-19 13:06
203,23,王蒙大姑娘,1,1,转发微博,2016-08-19 12:51
204,24,因浪,1,1,//@张振宇:一点都不能少！一寸都不会让！,2016-08-19 12:50
205,25,用户6004981539,1,1,//@用户6004981539:一点都不能少。,2016-08-19 12:47
206,26,用户5737766793,1,1,一点儿也不能少！这才是中国！ //@张馨予:,2016-08-19 12:44
207,27,用户6004981539,1,1,一点都不能少。,2016-08-19 12:41
208,28,MC-寒小东,1,1,我发现宝强跟黄渤长得一样,2016-08-19 12:34
209,29,毒霸壹颗,1,1,//@粉丝红包: ,2016-08-19 12:31
210,30,吴艳萍RO,1,1,//@张云龙mmc:#中国一点都不能少#,2016-08-19 12:26
211,31,Maye徐,1,1,必须不能少//@包贝尔:这才是中国，一点都不能少。,2016-08-19 12:21
212,32,花于骨,3,1,#中国一点都不能少#寸土不让//@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-12 22:02
213,33,萌猫图图,3,1,支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-12 22:10
214,34,胡歌数据组,3,1,#中国一点都不能少# 一点不少，寸土不让！//@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-12 21:42
215,35,胡歌爱吃的牛油果_帝王椒,3,1,#中国一点都不能少# 中国领土神圣不可侵犯寸土必争！//@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-12 22:17
216,36,蓝蓝花,3,1,#中国一点都不能少# 你演过林觉民，演过戴涛，演过明台，你最知道有国才有家～爱我中华，无论过去、现在，还是将来～//@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-12 22:18
217,37,云起在守候,3,1, #中国一点也不能少# 国家主权，不容侵犯。中国 ，一点也不能少，一寸也不会让 ??犯我中华者，虽远必诛  ！#胡歌# @胡歌 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-12 21:43
218,38,maomao爱猫猫,3,1,#中国一点都不能少#有国才有家！//@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-12 21:44
219,39,林儿不发财天理难容,3,1,#中国一点都不能少#//@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-13 06:09
220,40,凤饮醴泉iHugh,3,1,是的 寸土不能少犯我中华者 虽远必诛//@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-12 21:40
221,41,胡歌贴吧官方微博,3,1,#中国一点都不能少#//@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-12 21:48
222,42,胡歌家的小猫咪,3,1,//@彭志豪:#胡歌无可取代，古月与你同在# 皮之不存，毛将焉附。//@古月哥欠-胡歌官网: #中国一点都不能少#  //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-08-19 12:04
223,43,郭春燕,3,1,“金鹰奖”观众喜爱的男演员“胡歌编号31”每个手机号只能投一次.可借用亲戚朋友手机号多投！O网页链接,2016-08-19 10:27
