ID,weiboID,commentUID,commentcontent,commentTime
3208,4, mydearhappy,让新浪娱乐抢先了 ,46分钟前 
3308,9, 蒙古娃娃-F26,大队长 美的啊 ,9月28日 19:38 
3310,10, scro11,回复@宁然5366:人多！我忙着端盘子敬酒去了！ ,今天 05:37 
3311,10, scro11,回复@惠惠惠若若若琪琪琪迷妹JML:替我表哥和嫂子谢谢你了！ ,今天 05:36 
3312,10, scro11,回复@宁然5366:嗯嗯 ,今天 08:59 
3313,10, scro11,回复@宁然5366:嗯嗯 ,今天 08:59 
3314,10, 宁然5366,回复@scro11:真人更好看吧！大家都很感谢你的照片哦！ ,今天 08:26 
3315,10, scro11,回复@不负青春的恩惠:替我哥谢谢了！ ,今天 06:01 
3316,10, scro11,回复@宁然5366:人多！我忙着端盘子敬酒去了！ ,今天 05:37 
3317,10, scro11,回复@惠惠惠若若若琪琪琪迷妹JML:替我表哥和嫂子谢谢你了！ ,今天 05:36 
3318,10, 此间少年_804,红衣服的大叔手放哪呢 ,今天 02:17 
3319,10, GODSuPertiti,最高的那位也太漂亮了吧！！ ,今天 01:01 
3320,10, 爽朗的CC露,大队长美的 ,9月28日 20:33 
3321,10, 俏俏3号,我惠队太美 ,9月28日 20:31 
3322,10, 刘家C少的小跟班,哇，小惠祝新郎新娘新婚快乐 ,9月28日 20:30 
3323,10, 12号地才鬼手大BOSS惠尊,原来是前教练儿子的婚礼 ,9月28日 20:29 
3324,10, __Frankenstein_,好美 谢谢博主分享 ,9月28日 20:15 
3325,10, 里约惠圆梦,#惠若琪# ,9月28日 20:09 
3326,10, 不负青春的恩惠,回复@scro11:薛？ ,9月28日 20:05 
3327,10, 不负青春的恩惠,回复@scro11:嗯嗯，祝新娘新郎百年好合 ,9月28日 20:04 
3328,10, 惠惠惠若若若琪琪琪迷妹JML,祝PO主表哥夫妇百年好合永结同心～ ,9月28日 19:55 
3329,10, Llna-2,美丽的惠队。 ,9月28日 19:51 
3330,10, 笨蛋小饭,羡慕。。??就这样遇见了 ,9月28日 19:51 
3331,10, 倾城张爱玲,回复@scro11:嗯嗯，新娘美，新郎帅，惠队好美！！！ ,9月28日 19:50 
3332,10, scro11,回复@倾城张爱玲:我舅以前是江苏女排教练，现在退休了 ,9月28日 19:48 
3333,10, 宁然5366,你怎么没合个影 ,9月28日 19:48 
3334,10, 倾城张爱玲,惠队是和谁是朋友，新郎还是新娘？ ,9月28日 19:47 
3335,10, 宁然5366,惠队没讲两句祝福语啊 那么会表达 ,9月28日 19:47 
3336,10, scro11,回复@不负青春的恩惠:我表哥 ,9月28日 19:44 
3337,10, 不负青春的恩惠,谁的婚礼啊？ ,9月28日 19:43 
3338,10, 蒙古娃娃-F26,大队长 美的啊 ,9月28日 19:38 
3339,11, 悠悠5794638306,回复@左TT的天空:来啊 ,9月28日 23:46 
3340,11, 懒懒的太阳杨小洋,张宝宝和白花花都已经直播了，她惠姐也直播过，就剩果果没直播了 ,9月28日 23:33 
3341,11, 左TT的天空,果果雄起！果果永远1.99！ ,9月28日 23:15 
3342,11, 左TT的天空,回复@悠悠5794638306:打shi你，我果果只有1.99 ,9月28日 23:15 
3343,11, 沐_Shirly,我果厉害了 人民日报啊 ,9月28日 23:06 
3344,11, CX晓2014,小苹果全世界嚷嚷着说自己只有1米多@袁心玥球迷后援会 ,9月28日 22:20 
3345,11, rolgq,这是对女排精神解读最全面的一篇文章 ,9月28日 22:12 
3346,11, 悠悠5794638306,袁两米 ,9月28日 22:03 
3347,11, 梁小Leung,袁20咯 ,9月28日 22:01 
3348,11, 元气少女小惠,我也一米多，然而差距为什么这么大 ,9月28日 21:51 
3349,11, carl厸之,然而最新官方身高201 ,9月28日 21:34 
3350,11, 梦里追随着你,果果继续加油，重庆人民支持你 ,9月28日 21:26 
3351,11, 一个吃货的捡屎君,拼搏的人生没有终点 ,9月28日 21:22 
3352,11, 我也要爱女排520,成长，成长，成长 ,9月28日 21:13 
3353,11, 用户u08nzpu8fn, ,9月28日 20:56 
3354,11, 泽轩1430,写的很好啊 也希望这次奥运夺冠不会成为下一届的包袱，但求赛出自己，赛出精神即使没有金牌，我们还会一直支持中国女排 ,9月28日 20:33 
3355,11, A-Mao拽毛,#袁心玥# ,9月28日 20:30 
3356,11, 斜阳下的微笑-12,果果加油 ,9月28日 20:30 
3357,11, good白rf,这个可以有，很厉害！ ,9月28日 20:17 
3358,12, 乔见双下巴,看13年世俱杯，感觉… ,25分钟前 
3359,12, xiaoyu思之元气少女惠Rachel, ,9月28日 17:39 
3360,12, g_orgeous,回复@钱小呆爱volley:啧 ,9月28日 15:00 
3361,12, BJ_嘟嘟,墨菲还没到？ ,9月28日 14:01 
3362,12, 钱小呆爱volley,胡丹丹欢迎你。抹抹吊吊等着你 ,9月28日 13:32 
3363,12, 游泳者swimming,用转会朱婷的钱买的吗。 ,9月28日 13:00 
3364,12, 陈子书信,不就是霍奇吗！怎么改名字了？嫁人了？ ,9月28日 12:59 
3365,12, SanSui-C,要看二传了 ,9月28日 12:58 
3366,12, sssss小胖,回复@福海伐伐伐伐伐:米哈来天津 ,9月28日 12:55 
3367,12, 福海伐伐伐伐伐,米哈伊洛维奇跟博斯克维奇应该是去土耳其打球吧 ,9月28日 12:42 
3368,12, Justin不想听,霍奇很实用啊 感觉硬吃能力比希尔拉尔森都强 ,9月28日 12:36 
3369,12, 一树繁花zz,欢迎来大河南 ,9月28日 12:33 
3370,12, 一厢情愿是种烦恼NiCo,霍奇这赛季估计擦地板得累死 ,9月28日 12:20 
3371,12, jamlopez,河南不错啊，挑些实用型外援，2个都很不错，应该实力有不错提升 ,9月28日 12:13 
3372,12, 深圳恋风,欢迎 ,9月28日 11:53 
3373,12, whz冬季恋歌,哈哈，欢迎 ,9月28日 11:51 
3374,12, rixyim,murphy也去河南 ,9月28日 11:44 
3375,12, 云benben,欢迎咯 ,9月28日 11:36 
3376,12, 爱排球的Hogan,今年联赛好精彩 ,9月28日 11:36 
3377,12, 倾城张爱玲,米哈伊洛维奇啥时来中国？真希望中国把女排联赛搞成像篮球里的NBA那种的 ,9月28日 11:30 
3378,12, 在路上的小袁,欢迎梅根来到河南队#河南女排联赛加油# ,9月28日 11:28 
3379,12, 第2013个站点,不知道实力怎样 ,9月28日 11:26 
3380,13, 穿背心的小布朗熊,哈哈??你俩真是 ,今天 07:34 
3381,13, wn娜s若Q,回复@黑格尔特:好像是很生气，答应送她手机壳后才开心的 ,今天 06:25 
3382,13, 黑格尔特,你妹妹好开心 ,今天 00:12 
3383,13, 游客48302, ,9月28日 22:28 
3384,13, 芝兰琪花, ,9月28日 21:15 
3385,14, 唐人街黑马,女排题材剧本，大部分编剧不擅长，即使是一线编剧。不熟悉女排和这类运动励志类题材，无从下手。 ,9月28日 23:40 
3386,14, 唐人街黑马,我给粉丝三个选择，一.枪手（本公司不招），二.素材提供者，三.参与编剧。她选择了三。没注册公司，还以为注册简单，其实好繁琐，头大。要应付公司内部杂事，要看影视剧，要掌控剧本质量，还要操心备案和立项。公司一堆破事就足以消耗时间和精力了。但既然跨出了第一步，就没有回头的理由。加油！ ,9月28日 23:23 
3387,15, Gmrmbkoh_,哇 美哭 ,9月28日 16:48 
3388,15, Eterna1以梦为马,终于盼来了9宫格，美美哒流口水啦～爱你哟 ,9月28日 16:46 
3389,15, 好好软呀你,有全身照就更好了～大长腿 ,9月28日 16:48 
3390,15, 骆北辰灬,美美美！！！！ ,9月28日 18:25 
3391,15, 这个账号不能撩,女神！女神！女神！ ,9月28日 16:49 
3392,15, Cookie小哥瑤瑤醬,哈哈哈，我能说我全程在旁边嘛，宝宝简直太可爱！！ ,9月28日 16:55 
3393,15, 林易007,不到两米，都不好意思暗恋喜欢你 ,9月28日 17:03 
3394,15, 栖初,张大宝的小文艺 ,9月28日 16:48 
3395,15, 肉肉肉肉呢10,美得不要不要的 ,9月28日 20:29 
3396,15, halosoma,中国女排史上最漂亮的女孩！同意的点赞！！！ ,9月28日 18:24 
3397,15, 勇敢的心001a,女神 ,1分钟前 
3398,15, Frighting少年,卧槽，真漂亮这妞！ ,8分钟前 
3399,15, 流光若返ST,女神啊！ ,9分钟前 
3400,15, 小相扑三川,腿那？ ,9分钟前 
3401,15, 郭郭-ffffff,还是喜欢你的大长腿 ,10分钟前 
3402,15, 天然婚纱摄影集团,好美好美的亚！ ,15分钟前 
3403,15, sillysam,太漂亮了！！！ ,18分钟前 
3404,15, 张继龙不是昵称,这个照相馆我也知道，拍的真心不错！颜值担当 ,20分钟前 
3209,4, TK陶陶,這個拍得好！！！把運動的美和健康的美還有性感的美結合得非常好！！！！！運動員拍照就是要這樣子。而不是像有的媒體拍照一樣裝性感，搔首弄姿。 ,47分钟前 
3210,4, 张偲_Guess,想练弹跳和健身篮球干货安利个@只关于健身 ,47分钟前 
3211,4, 繁叶七夜,说实话太羡慕惠若琪的身高了看她这样都想象不到原来经历过严重的心脏疾病 ,49分钟前 
3212,4, 我是谁5607149355,挣点钱 ,49分钟前 
3213,4, 乔见双下巴,想把她身上泼的酸奶舔光… ,50分钟前 
3214,4, Edwin今晚打老虎,美cry ,50分钟前 
3215,4, Q7先森,我江苏男女排就是出大帅哥大美女啊?????服不服 ,50分钟前 
3216,4, Vivian暮光之Ting,超模 ,51分钟前 
3217,4, inTheDeepSea,身上泼的是酸奶？看不懂为啥要泼... ,52分钟前 
3218,4, Mustache丶ON,好美 ,52分钟前 
3219,5, 我是M_静香,必须的，漂亮！ ,今天 08:53 
3220,6, 在路上的小袁,回复@独角SO:我用的天行VPN和cloud vpn ,今天 06:25 
3221,6, 我爱朱婷forever,博主用心！这字太讲究了！ ,6分钟前 
3222,6, 鹰城彦立,回复@何-必-完美:你眼可真尖，这都能看到 ,43分钟前 
3223,6, 何-必-完美,稿纸,今天 08:50 
3224,6, 独角SO,回复@在路上的小袁:收费多少 ,今天 08:47 
3225,6, 我是你们的蒙奇奇,198 ,今天 08:33 
3226,6, 落雪无痕syy,瓦基弗银行不用对舒耐和卡萨尔马焦雷啊？ ,今天 07:54 
3227,6, 在路上的小袁,回复@独角SO:我用的天行VPN和cloud vpn ,今天 06:25 
3228,6, 死坏坏的玫瑰,回复@梦在云端的二哈:小苹果早就2米开外了，她自己嫌弃说2米以上不好听，只承认自己是1.99米 ,今天 00:19 
3229,6, 独角SO,你们翻墙用哪个VPN比较好啊，推荐一下 ,9月28日 23:29 
3230,6, 陈妤希elva,朱婷加斯洛特耶斯对战科舍列娃加博斯科维奇??胜算谁大 ,9月28日 23:22 
3231,6, -李艳涛-,字很好看 我们一起关注朱婷女神 加油 ,9月28日 22:36 
3232,6, 梦在云端的二哈,大婷都198，那果果。。。 ,9月28日 22:10 
3233,6, 毛毛虫amy,什么时候长的个，我怎么不知道，大婷没汇报嘛第一场早上十点，在上班呀，怎么看直播呀 ,9月28日 21:23 
3234,6, 一纳米的浅蓝,有心了 ,9月28日 21:23 
3235,6, 阿朱与耶丝,回复@在路上的小袁: ,9月28日 21:13 
3236,6, 呼呼长了好多肉,回复@在路上的小袁:小袁老师，呼呼以前不该抄作业的 ,9月28日 21:12 
3237,6, 在路上的小袁,回复@阿朱与耶丝:哈哈哈，字不是重点，重点是字是什么 ,9月28日 21:10 
3238,6, 在路上的小袁,回复@呼呼长了好多肉:呼呼的肉跟朱的身高一样在长吗 ,9月28日 21:09 
3239,6, 阿朱与耶丝,字真漂亮再看看我自己的字，有点想哭 ,9月28日 21:05 
3240,6, 用户6027654891,回复@在路上的小袁:如果有消息的话，记得分享一下，我们一起为大婷加油，谢谢 ,9月28日 20:43 
3241,6, 呼呼长了好多肉,小袁老师的字很好看吼 比赛指南很用心吼 在路上的照片和ID很配吼 198的某同学很官方吼  ,9月28日 20:36 
3242,6, 大地测小老师,河南省周口市第十九初级中学 ,9月28日 20:31 
3243,6, 在路上的小袁,回复@用户6027654891:这个还真不知道 ,9月28日 20:29 
3244,6, 若不能发光就爆炸,#朱婷# 真是棒的规整 ,9月28日 20:26 
3245,6, 用户6027654891,体育频道有直播吗？好想看朱婷打球 ,9月28日 20:24 
3246,6, 阿ZandRQ,你去到土耳其啦 ,9月28日 20:10 
3247,6, 莫鱼xy,小组赛都是白天的，不晓得有没有直播 ,9月28日 20:07 
3248,6, 深圳恋风,已经看到世俱杯冠军奖杯被大婷抱在怀里 ,9月28日 20:06 
3249,6, 在路上的小袁,回复@卢娜lovegood有点疯:这对我是鼓励，我要好好练字 ,9月28日 20:03 
3250,6, 卢娜lovegood有点疯,字吼吼看(⊙o⊙) ,9月28日 20:02 
3251,6, 朱婷你什么时候嫁给我,回复@在路上的小袁:比我写的好 ,9月28日 20:02 
3252,6, Vivian暮光之Ting,哇，博主太棒了 ,9月28日 20:02 
3253,6, 在路上的小袁,回复@朱婷你什么时候娶我:是的，丑到家了 ,9月28日 20:01 
3254,6, 一次就好唯爱我婷,这身高 没谁了 我婷come on ,9月28日 20:00 
3255,6, 朱婷你什么时候嫁给我,这字是你写的么 ,9月28日 19:59 
3256,7, An丶空谷幽香,怎么觉得字幕和图片是p上去的 ,今天 01:43 
3257,7, 慕慕兮丶,回复@王小明朗:咱们英语老师 ,9月28日 23:44 
3258,7, 秋裤林,回复@easduiaid:康从轻思密达 ,9月28日 22:17 
3259,7, easduiaid,@秋裤林 ,9月28日 22:03 
3260,7, 这很鸭,@白雪公主的后爹地 ,9月28日 21:11 
3261,7, 唐伯虎点蚊香lm,胡乱翻译的，女排图片也是后期p上去的 ,9月28日 15:11 
3262,7, 王小明朗,@慕慕兮丶 ,9月28日 14:14 
3263,7, 坦坦一坦坦,@DDD-dr @维维阿_ 哈哈哈洪荒之力 ,9月28日 14:12 
3264,7, 包子很闲闲闲,说话方式我只服朝鲜！ ,9月28日 07:24 
3265,7, 随影而动-安夏,什么鬼 ,9月28日 01:38 
3266,7, 陈陈陈小妙,@静雯b_ ,9月28日 01:11 
3267,7, 陈陈陈小妙,回复@cookie儀:哈哈哈哈哈哈哈哈 ,9月28日 01:11 
3268,7, 没有名字的鬼42681,听的我浑身鸡皮疙瘩啊！ ,9月27日 23:44 
3269,7, two暖,@暴饮暴食的软妹哥 @假装风景很好看 @有话就讲讲讲咯 ,9月27日 23:11 
3270,7, Laocyon,@MeganVon ,9月27日 22:20 
3271,7, Laocyon,回复@cookie儀:哈哈哈哈哈哈痴线噶 ,9月27日 22:20 
3272,7, cookie儀,@陈陈陈小妙 @Laocyon ,9月27日 21:39 
