ID,weiboID,userID,weibo_content,postTime,datatime,weibourl
1140,1,新浪娱乐, #养眼美图#女排队长惠若琪@元气少女惠Rachel 近日登上杂志封面，冠军身材+超高颜值，完全不输超模！O惠若琪登封面秀腹肌不输超模 ,9月28日 15:40,2016/9/29 星期四 上午 10:06:28,http://weibo.com/1642591402/EamKi5q0z?refer_flag=1001030103_?type=comment
1141,2,清华南都, #朗平挺老友# 35年前，郎平“扣”下中国女排第一个世界冠军，TCL则刚刚成立；到今天铁榔头率领女排重回巅峰，TCL也跻身国际大企。看现场郎平&李东生21年再度同框，禁不住慨叹人生能有多少个十年！ ,9月28日 17:50,2016/9/29 星期四 上午 10:10:05,http://weibo.com/2309846073/EanARB9tT?refer_flag=1001030103_?type=comment
1142,3,原PO等等你的智商掉了, 你们要的女排表情包最后一批......一切最美好不过圈地自萌。 （图片二改自@charmingphoto ，大叔，我都快背下来你每天发的都是些啥图了） , 9月28日 19:13,2016/9/29 星期四 上午 10:13:47,http://weibo.com/3828078084/Eao8CAEGw?refer_flag=1001030103_?type=comment
1143,4,新浪排球, 近日，中国女排队长惠若琪为《时尚健康》杂志拍摄的封面大片曝光。大片中，惠若琪打扮简约时髦，大秀身材，腹肌马甲线样样有，配上过硬的颜值与长腿，出片效果不输超模。高清图集：O惠若琪登《时尚健康》封面 ,53分钟前,2016/9/29 星期四 上午 10:15:44,http://weibo.com/2211979435/EatHpERVs?refer_flag=1001030103_?type=comment
1144,5,蓝色星光25, 颜值高！女排队长惠若琪秀腹肌 身材不输超模  ,今天 08:43,2016/9/29 星期四 上午 10:19:28,http://weibo.com/1919815652/EatrCt3vd?refer_flag=1001030103_?type=comment
1145,6,在路上的小袁, 2016世界女排俱乐部锦标赛简介，欢迎围观198的某位童鞋，这身高不是我说的#朱婷征战土耳其联赛#。我只知道这么多，其他的大家围观下列网址O网页链接 , 9月28日 19:58,2016/9/29 星期四 上午 10:19:52,http://weibo.com/2850074921/EaoqTyYfp?refer_flag=1001030103_?type=comment
1146,7,全球最新精选, 看看朝鲜央视主持如何用洪荒之力报道中国女排夺冠！ L秒拍视频 . ,9月26日 23:00,2016/9/29 星期四 上午 10:21:58,http://weibo.com/2286806561/Ea6LUez8U?refer_flag=1001030103_?type=comment
1147,8,唐人街黑马, 最近没时间写生活日记。这些图片，是9月27日上午为一位来不了的朋友登记的宾馆，本来不想去住，结果老妈叽歪唠叨，实在受不了，快一点了，一个人骑电动车去宾馆通宵看女排电视剧《排球女将》。看房间的样子过得去，住进去不知道多受罪。电热水壶是坏的，半夜肚子饿了，想冲方便面没开水（后来才知道，我前面“烧开”一直没用的水，居然没发烫过，因为坏了根本没通电。一晚上咕噜咕噜喝了生水都不知道）。插头没电，手机充不了电，蚊香不能插电，蚊子咬人。值班女人住我对面，善良的我，怕吵她睡觉，不断被蚊子咬，又冷又饿，一直忍到天亮。天亮一个女人进来，换了开水壶，告诉我插头开关在电话机墙上。尼玛，没任何文字提示，鬼才知道为何电视机附近墙上插板没电，真坑爹。坑了一个叫黑马的女爹。 ,今天 00:39,2016/9/29 星期四 上午 10:23:31,http://weibo.com/1864586617/Eaqh7BWGc?refer_flag=1001030103_?type=comment
1148,9,scro11, 奥运冠军！中国女排队长惠若琪！ 2南京·九华饭店 ,9月28日 18:42,2016/9/29 星期四 上午 10:25:06,http://weibo.com/2816066860/EanW2gSPS?refer_flag=1001030103_?type=comment
1149,10,scro11, 奥运冠军！中国女排队长惠若琪！ 2南京·九华饭店 , 9月28日 18:42,2016/9/29 星期四 上午 10:27:05,http://weibo.com/2816066860/EanW2gSPS?refer_flag=1001030103_?type=comment
1150,11,袁心玥球迷后援会, 【人民日报：读懂中国女排魂 拼搏的人生最美丽】在中国女排中，19岁的袁心玥是很有辨识度的一个。蓬蓬的短发，衬着一张圆脸，像极了她的外号“小苹果”。1米99的身高，是国家队史上“第一海拔”，可她总爱说，“人家也就1米多”。#袁心玥# °人民日报：读懂中国女排魂 拼搏的人生最美丽 ,9月28日 20:16,2016/9/29 星期四 上午 10:27:47,http://weibo.com/1893228731/EaoyloQCA?refer_flag=1001030103_?type=comment
1151,12,新浪排球, 头顶一小撮酒红色、一套黑色运动休闲装、一身黝黑紧实的肌肉、一张露出洁白牙齿的笑脸……昨天临近中午，当美国女排主力主攻梅根出现在河南奥瑞克电梯女排训练馆时，正在训练的队员立刻用友好而热烈的掌声，迎接这位河南女排建队58年历史上的首位外籍球员的到来。O河南女排外援到位顶朱婷空缺 她就是霍奇。 ,9月28日 11:21,2016/9/29 星期四 上午 10:28:06,http://weibo.com/2211979435/Eal3bhEb6?refer_flag=1001030103_?type=comment
1152,13,wn娜s若Q, 堂妹问我看过奥运嘛？看过中国女排嘛？   我说嗯的，看过，决赛时班里偷懒看。   她说惠若琪知道吗，我喜欢她，然后很兴奋的????????????开始给我说中国女排，，说惠若琪，，，。  我接电话，，，她激动的说你手机壳，，。  我回答是她惠若琪，我很爱她，，。然后堂妹就开始抱怨我为啥不早告诉她，，还让她一个人在表演，，。我说只要关于她听多少次都喜欢，，，。??最后堂妹死死抱着我说姐我们都喜欢同一人，能送我个手机壳嘛！ 明年毕业去看她打球吧！   ???（不管我能不能去看你打球，你一直会是我最爱的惠二，未来会一直陪伴着你！） ,9月28日 21:07,2016/9/29 星期四 上午 10:28:35,http://weibo.com/6011788216/EaoT30tRm?refer_flag=1001030103_?type=comment
1153,14,唐人街黑马, 情况更新：投资人又催我要梗概和剧本。下午继续跟女排粉丝沟通素材和梗概写作。粉丝之前写小说和评论的，从没写过剧本。第一次写的东西不象梗概，象女排情况介绍，第二次写成小说形式。语音教她怎么写梗概，告诉她剧本是个什么玩意，怎么写剧本。第三次按我要求修改了，有点近似梗概，但没什么新内容，基本是新闻上报道了的东西，缺乏好素材。无论怎么说，她虚心接受，并去努力了，尤其是热爱女排，想给她一次机会。我让她继续收集素材，素材综合精选好，再动笔写梗概。公司注册代办说我的工商许可证和注册章办好了，让我明天去长沙拿。晚上同时跟代办，俩位会计，一位注册朋友沟通什么章程，股东纪要，记账合同，发票专用章，公司账户，印鉴卡，税务申报等等一堆破事，根本没空看女排影视剧。成熟编剧微信询问梗概写作情况。他说如果素材不错，他会参与。之后打本地版权注册男同学和影视负责人的电话咨询，加了他们的微信。影视负责人不是很明白备案和立项的事，也许县市不办理这些业务。男同学淳朴地说，希望我成为影视名人，向我学习。艾玛，八字还没一撇呢。只是爱好影视，跟名人无关。再说，名利只是一朵痴呆的浮云。 , 9月28日 23:15,2016/9/29 星期四 上午 10:28:47,http://weibo.com/1864586617/EapIW3uM5?refer_flag=1001030103_?type=comment
1154,15,宝贝宁_ZCN, 第一次拍文艺照 自己很喜欢～谢谢@海马体照相馆??有机会还想拍～ , 9月28日 16:45,2016/9/29 星期四 上午 10:29:32,http://weibo.com/1835539930/EanaGuFq2?refer_flag=1001030103_?type=comment
1155,16,国际排球联合会FIVB, 2016世界女排俱乐部锦标赛，10月将在马尼拉上演！亲爱的球迷们，门票买好了没？点击索取赛程安排：O网页链接 ,9月28日 14:11,2016/9/29 星期四 上午 10:49:18,http://weibo.com/3819420036/EamahiPhe?refer_flag=1001030103_?type=comment
1156,17,原PO等等你的智商掉了, 午饭时间做了一套女排表情包 （图片二改自@charmingphoto ） , 9月27日 14:44,2016/9/29 星期四 上午 10:49:36,http://weibo.com/3828078084/EacWY5HdA?refer_flag=1001030103_?type=comment
1158,19,化身为海--那片海, 每天都能看到关于大婷的消息，发现她真挺适合当女排队的表情帝????越来越招人喜欢迷倒一大片啊 , 9月27日 22:50,2016/9/29 星期四 上午 10:49:56,http://weibo.com/2815384605/Eag8evsbc?refer_flag=1001030103_?type=comment
1159,20,竹鑫明, 最近整理硬盘，发现我若干年前还存过大量的吴咏梅的资料、图片，有文章报道，有比赛剪辑，也有不少图片。小时候也是最喜欢颜值高的周晓兰等人，长大以后更喜欢有实力的，象吴咏梅这样在中国女排低谷期撑起一片天的猛将，打心眼里喜欢。放上几张图片给大家 , 9月28日 19:45,2016/9/29 星期四 上午 10:50:06,http://weibo.com/1424528383/EaolRfi8G?refer_flag=1001030103_?type=comment
1160,21,远帆揽尽, 今晚抽空给自己的手机美了一个容，瞬间我也成了女排朱婷的“大迷姐”了，大家觉得这些手机壳的风格是不是很适合我啊。 , 9月28日 21:19,2016/9/29 星期四 上午 10:50:15,http://weibo.com/2259328162/EaoXRsBNG?refer_flag=1001030103_?type=comment
1161,22,远帆揽尽, 今晚抽空给自己的手机美了一个容，瞬间我也成了女排朱婷的“大迷姐”了，大家觉得这些手机壳的风格是不是很适合我啊。 , 9月28日 21:19,2016/9/29 星期四 上午 10:51:13,http://weibo.com/2259328162/EaoXRsBNG?refer_flag=1001030103_?type=comment
1162,23,江翡冰融, 第一次看中国男排比赛，相比女排比赛，男排没有那么多往返，一攻下球率太高了，所以一直在拼发球，还总是失误，也是醉了，不过男排的颜值还是不错滴??#男排亚洲杯# , 9月28日 21:15,2016/9/29 星期四 上午 10:51:28,http://weibo.com/5052293673/EaoWosNJL?refer_flag=1001030103_?type=comment
1163,24,红人站, 日前，女排队长惠若琪@元气少女惠Rachel 《时尚健康》拍摄的封面大片曝光。大片中，惠若琪打扮简约时髦，大秀身材，腹肌马甲线样样有，配上过硬的颜值与长腿，出片效果不输超模。这身材也是没谁了惹~组图：O惠若琪登封面秀腹肌不输超模 , 9月28日 15:08,2016/9/29 星期四 上午 10:51:30,http://weibo.com/2921243620/EamxderV9?refer_flag=1001030103_?type=comment
1164,25,YOKA时尚网, 访问加拿大第四天，凯特换上一身杜嘉班纳绿色连衣裙和威廉来到了哥伦比亚那根大学的体育场，收获了女排队的学生们赠送的球衣和泰迪熊玩偶，还去当地著名的酒厂品尝了美酒和特色美食象拔蚌，看两人的表情吃起来相当开心，味道应该还不错哦。°王室风云:吃象拔蚌收熊玩偶 凯特在加拿大笑开花 , 9月28日 18:09,2016/9/29 星期四 上午 10:51:38,http://weibo.com/1654502821/EanIM9C6i?refer_flag=1001030103_?type=comment
1165,26,FashionModels, #杂志大片Editorials#超模惠若琪…不！女排队长惠若琪做客《红秀Grazia》潮流街牌栏目，用一条黑色漆皮短裙搭配多套造型。惠队这身材和脸蛋，可以直接转行当模特了！编辑：@廖诗宇lois , 9月28日 17:34,2016/9/29 星期四 上午 10:51:42,http://weibo.com/5097562275/Eanur4bek?refer_flag=1001030103_?type=comment
1166,27,这个杀手有点冷123, #惠若琪# 也混过明星的粉圈，粉丝磕磕绊绊常事，奇葩撕逼也见过，因为粉丝间矛盾心累脱粉的人不计其数，现在发现运动员的粉也不和谐。我不会说话姥爷就抱着我看排球，喜欢小惠也不是一两天了，学业原因精力有限一直安安静静看比赛。奥运后才算从微薄接触惠和女排姑娘的粉圈。我只想说绝大多数小伙伴都是超好的，每个人性格观点不一样，处事方式不一样有分歧很正常。谁都不是神，都有个过失，知错能改是好的，不用揪着不放。提醒的人也是为惠好，语气措辞啥的互相都包容下。另外，因为这些事心累的亲们，大神也好，小粉也罢，我们喜欢的是惠若琪，不是她的粉丝圈，她不是明星，我们喜欢她是她给我们很多鼓舞和正能量。于我们而言，喜欢她的过程中有所成长收获，所以尽己所能的给她不同形式的支持，算是回馈，我们的初衷很简单，别因为其他原因伤了心气。还有，女排摆在首位的是团结，所以我先是团粉，再是惠粉。各家的粉丝撕逼，自家的粉丝斗气，这是最不该发生在女排粉身上的。我们的偶像都是把团结发挥到极致的人。粉丝先学会互相包容，团结一致吧。那种单纯的喜欢的感觉，才是最幸福的。别让杂七杂八的声音，扰乱了你的本心…………送给所有喜欢惠若琪和女排的人 , 9月28日 11:26,2016/9/29 星期四 上午 10:51:44,http://weibo.com/3195254040/Eal5hjrk3?refer_flag=1001030103_?type=comment
1167,28,智能温室蔬菜大棚18853615776, 漂亮的女排运动员 2青州市 , 9月28日 19:33,2016/9/29 星期四 上午 10:53:00,http://weibo.com/3247304424/EaogUumm3?refer_flag=1001030103_?type=comment
1168,29,酋长的部落格, 2016年度最佳笑话------里约奥运会上，中国女排发扬申花精神，最终夺得冠军！ , 9月28日 19:20,2016/9/29 星期四 上午 10:53:23,http://weibo.com/1639407245/EaobqEKOK?refer_flag=1001030103_?type=comment
1169,30,寒城不暖, 中国女排女神们来我们酒店了，怎么办，好激动，可惜没有合照站在女神@元气少女惠Rachel 面前，真的需要仰视没有抓住这么好的机会 , 9月28日 19:08,2016/9/29 星期四 上午 10:54:33,http://weibo.com/5557766507/Eao6B4XRU?refer_flag=1001030103_?type=comment
1170,31,喜梦宝官方围脖, 置顶 为喜梦宝点赞！为女排点赞！（内有福利图，快收藏！） °为喜梦宝点赞！为女排点赞！ , 9月28日 17:56,2016/9/29 星期四 上午 10:54:34,http://weibo.com/1777593972/EanDwetWn?refer_flag=1001030103_?type=comment
1171,32,bigtt_8, 啊哈哈哈哈哈哈居然被我翻到了浙江开元女排队员热舞。 L浙江开元女排队员热舞?查看图片 , 9月28日 18:07,2016/9/29 星期四 上午 10:54:35,http://weibo.com/1246724332/EanI98SbQ?refer_flag=1001030103_?type=comment
1174,35,爱Sheilla_13, 这是我之前用彩铅手绘的作品，下图是照片和画作对比，前中国女排副攻薛明@明天的明天 , 9月28日 17:03,2016/9/29 星期四 上午 10:54:46,http://weibo.com/2313892900/EanhXqKkG?refer_flag=1001030103_?type=comment
1175,36,爱Sheilla_13, 这是我之前用彩铅手绘的作品，下图是照片和画作对比，前中国女排副攻薛明@明天的明天 , 9月28日 17:03,2016/9/29 星期四 上午 10:54:46,http://weibo.com/5147393476/Ean710Ouq?refer_flag=1001030103_?type=comment
1157,18,魏秋儿粉丝后援团, 【消息】9月26日，#魏秋月#在捷克愉快地度过了自己的28岁生日，天津女排的海外拉练之旅也将继续向前。在结束捷克最后两场教学比赛后，全队将在29日前往英国，展开第二阶段的拉练。 , 9月28日 15:59,2016/9/29 星期四 上午 10:49:54,http://weibo.com/1718381130/EamS70SpH?refer_flag=1001030103_?type=comment
1172,33,时尚健康, #粉红丝带#乳腺癌防治运动十月封面再度携手摄影师@Pillfanfan 支持今年最年轻代言人现役女排队长@元气少女惠Rachel 请戳：预售时尚健康 2016年第10期 封面 惠若琪 愿运动员身份与成绩感染更多人爱上运动！‘’真的很少听说运动员有这方面问题‘’…临场与临床无异都需要——“顽强拼搏、永不言弃、坚持不懈、自强不息”！ , 9月27日 11:13,2016/9/29 星期四 上午 10:54:44,http://weibo.com/1193525177/Eabzty0HO?refer_flag=1001030103_?type=comment
