ID,weiboID,commentUID,content,commentTime
586,1, _小清新的坛坛,好漂亮的图 ,7月11日 08:19 
587,1, 个性斑马,犯我中华者 虽远必诛！ ,7月11日 08:24 
588,1, 人生要多些无知,犯我中华者，虽远必诛！ ,7月11日 08:21 
589,1, 因为她是琳琳呐,头可断、血可流、寸土不能丢 ,7月11日 11:20 
590,1, 家快保VIP,#南海仲裁案#我觉得一个国家是否牛逼 就是南海出事了 台湾出事了 他的人民 还能够继续跳广场舞 刷微博 吐槽烂电影 而所有的事情都交给国家 而我们国家却说我不同意 不用等明天 今天你就知道了 而我国人民仍然在跳广场舞在刷微博在吐槽 这事你放到中东看看 不是所有国家都能让你安心跳广场舞的 ,7月12日 18:33 
591,1, 荒木正一,中央已经表态了，一切反动派都是纸老虎 ,7月11日 08:42 
592,1, 池州风土人情, 犯我中华者，虽远必诛！ ,7月11日 09:27 
593,1, 刘大仙6,我爱中国 ,7月11日 08:18 
594,1, 挂蓝项圈的白狗,1987年，菲律宾前总统访华拜会邓小平，谈到南沙主权问题时说,7月12日 17:49 
595,1, -少女搭配-, 宝贝加油哦 ,9月27日 21:13 
596,1, 吃个糖默默围观,你房子少了 ,9月27日 19:42 
597,1, 小月月是黑发姬,回复@Lorries荷西:其实香港，台湾都是讨厌共产党，不过的确抗日战争，在主战场的是国民党，怎么说呢？彼此彼此吧，大陆也讨厌国民党额，却忽略了台湾另外一个丑陋无比的党!相比之下，国民党的境地很可怜。 ,9月27日 10:28 
598,1, 小月月是黑发姬,回复@刘小落592:可以说中国共产党的那种方式也为共产党积累了很多群众基础，但是国民党的确做了很大贡献啊。 ,9月27日 10:26 
599,1, 轻描淡写的小情绪_,感觉我们是团结在一起的，突然觉得好感动 ,9月27日 08:37 
600,1, 刘小落592,回复@马辉1111:那就是历史！确实抗日期间的大仗硬仗恶仗都是国民党打的！共产党也就是在后边打打游击了！ ,9月26日 16:18 
601,1, 本人我行我素,回复@申屠涛 的赞:谢谢点赞 ,9月26日 15:02 
602,1, 夏虫也为我沉默了,藏南地区阿里地区，南海群岛呢？ ,9月26日 13:18 
603,1, chestnut-bakery,很多人都以为中国版图长度比宽度大 其实不然 ,9月26日 10:15 
604,1, 龙飘飘HOU,//@胡歌: “有国才有家” 一点不少！ 寸土不让！ ,9月26日 09:53 
605,1, 九九苏苏苏,看到国人如此流氓我也就放心了 ,9月25日 20:57 
606,1, S吴世勋S,已经少了 ,9月24日 18:25 
607,1, 用户5688825009,琉球在哪里 ,9月24日 17:43 
608,1, 正能量克星EVE,额…… ,9月23日 15:10 
609,1, 凯顿宝,兄弟哥顶你一个 ,9月22日 16:19 
610,1, 油锅锅123,回复@喜欢低调的你Kawhi:re ,9月22日 12:18 
611,1, MH公司董事长马辉,回复@Lorries荷西:你让共产党打淞沪试试，让共产党打正面战场试试，让共产党和日本甲种作战师团试试，不懂历史别瞎说 ,9月21日 16:45 
612,1, 读书跑步生活,一点不能少 ,9月21日 16:13 
613,1, 大理大学学生社团联合会,一点都不能少 ,9月21日 13:04 
614,4, LeoSsssssYyyyyy,姑娘有种 ,7月24日 13:03 
615,4, 宋小茜的凉皮儿,今生不悔入华夏，来世还在种花家 ,7月24日 13:10 
616,4, Girlsjung,把以前沒有的都補回來 ,7月24日 13:10 
617,4, Bread_MeU,你不知我有多骄傲，能认识，爱上你这样堂堂正正的girl ,7月24日 13:09 
618,4, 情歌国际物流,此生无悔入华夏！ ,7月24日 13:07 
619,4, 一枚硬币的音符,爱你爱你爱你 ,7月24日 14:57 
620,4, V鹿肉煎蛋V,全世界最好的美妞爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你爱你满屏的爱你 ,7月24日 14:37 
621,4, Tentedeleurs,宋阳光在韩国综艺中闭口不哼韩国国歌 ，每次介绍都说自己的故乡中国青岛 多次演中国传统文化的节目如醉拳，自编中国舞。在ins被外国几十万粉丝骂，掉粉后，ins名字后加宋茜两个汉字。 茜宝说先有宋茜而后有Victoria.那些断章取义截屏恶意黑她的人，茜米们不会再让你们得逞了这一次我们会守护好她@宋茜 ,7月29日 17:56 
622,4, EveryJokersDay,路人粉，看到ins下面全是越南人好心疼你好想骂他们 ,7月24日 14:43 
623,4, 深知你是深情,你在我在 与你相遇 好幸运 不管怎样 我都会在你身旁 陪伴你 守护你@宋茜 ,7月24日 16:17 
624,4, 有情可圆额,对支持你加油(^ω^) ,今天 12:24 
625,4, sy-vickrys24, ,今天 12:18 
626,4, sy-vickrys24, ,今天 12:18 
627,4, sy-vickrys24, ,今天 12:18 
628,4, 杨春5985245871,加油，永远支持你 ,今天 11:05 
629,4, 从前有个大马猴,因为南海的时候你改了ins的头像和网名 然后我就很喜欢你了 ,今天 02:02 
630,4, sy-vickrys24, ,今天 00:47 
631,4, sy-vickrys24, ,今天 00:47 
632,4, sy-vickrys24, ,今天 00:46 
633,4, 用户x5aap33t9f,还是个爱国主义者嘛 ,10月7日 21:43 
634,4, 闲逛阿猪,就因为你爱国，所以我决定成为你的粉丝 ,10月7日 21:12 
635,4, 苏城孤鸣,根正苗红的宋茜！//@宋茜:这才是中国，一点都不能少。 ,10月7日 20:22 
636,4, 于念西balabala,我爱你茜姐姐 ,10月7日 19:47 
637,4, 宋茜的迷贝,青岛小嫚@宋茜  ,10月7日 17:13 
638,4, 宋茜的迷贝,根正苗红的#中国姑娘宋茜# ,10月7日 17:12 
639,4, 宋茜的迷贝,宋茜 ,10月7日 17:11 
640,4, sy-vickrys24, ,10月7日 14:25 
641,4, sy-vickrys24, ,10月7日 14:25 
642,4, 宝贝宋茜勿忘我,今天这车堵的 ,10月7日 12:02 
643,4, 宝贝宋茜勿忘我, ,10月7日 12:01 
644,4, 宝贝宋茜勿忘我, ,10月7日 12:01 
645,4, 宝贝宋茜勿忘我, ,10月7日 12:01 
646,4, 宝贝宋茜勿忘我, ,10月7日 12:01 
647,4, 宝贝宋茜勿忘我, ,10月7日 12:01 
648,4, 宝贝宋茜勿忘我, ,10月7日 12:00 
649,4, SuperAlice爱丽丝,坚决不能少 ,10月7日 11:59 
650,4, 157666398amorc,买了i7然后说中国一点都不能少 ,10月7日 10:10 
651,4, 羊毛总在洋身上,回复@羊毛出在yang身上icon:呵呵，缘分！好巧好巧！ ,10月7日 08:52 
652,4, 羊毛出在yang身上icon,回复@羊毛总在洋身上:还好啦 ,10月7日 08:42 
653,4, 羊毛总在洋身上,回复@羊毛出在yang身上icon 的赞:哎，你的昵称和我的好像啊！ ,10月7日 06:58 
654,4, sy-vickrys24,hdjd ,10月7日 01:34 
655,4, sy-vickrys24, ,10月7日 01:34 
656,4, 勿忘_qian,#(爱心)#宋茜#  #宋茜巴黎时装周#  #宋茜LOEWE品牌挚友#  #宋茜代言遮天3D手游#  #宋茜代言桃花源记2# ?? #宋茜梨落# ?? #宋茜幻城#  ,10月6日 23:06 
